game_date,player_id,player_name,team_abbr,season,signal_simulated_market,signal_fair_value,forward_delta_game_score,forward_mean_game_score
2021-04-26,201566,Russell Westbrook,WAS,2020-21,128.77238203595897,127.08952520213649,10.481481481481481,28.4
2018-12-14,202331,Paul George,OKC,2018-19,130.57874830163792,131.7744882548737,10.440000000000005,29.140000000000004
2019-02-09,203078,Bradley Beal,WAS,2018-19,130.04726403255066,131.4981442573377,10.43535714285715,28.480000000000008
2018-11-23,201142,Kevin Durant,GSW,2018-19,135.76249289347615,139.45513917053577,10.420000000000005,32.480000000000004
2018-12-12,202331,Paul George,OKC,2018-19,128.42137996390622,130.9858185740658,10.404615384615383,29.02
2021-12-15,203081,Damian Lillard,POR,2021-22,124.23295783719061,123.03110392753813,10.38869565217392,26.180000000000007
2022-01-15,203999,Nikola Jokić,DEN,2021-22,147.15674282723265,146.44720550280783,10.341111111111111,34.480000000000004
2023-01-06,203081,Damian Lillard,POR,2022-23,128.12372706826613,125.64585935660848,10.271538461538462,30.360000000000003
2024-01-22,1626164,Devin Booker,PHX,2023-24,136.03599884280268,134.09374062268162,10.265882352941176,31.160000000000004
2023-01-19,203081,Damian Lillard,POR,2022-23,140.75607655777944,138.28038960957394,10.256363636363634,32.42
2025-01-27,1630162,Anthony Edwards,MIN,2024-25,129.64609044443088,126.87203640496458,10.217391304347824,28.0
2024-01-17,1629029,Luka Dončić,DAL,2023-24,158.81359868552315,158.31946138999697,10.211428571428563,37.459999999999994
2021-01-16,1629027,Trae Young,ATL,2020-21,127.15859500531346,125.6622592910424,10.186666666666664,26.919999999999998
2021-11-12,203081,Damian Lillard,POR,2021-22,124.49365731722708,124.80408526117404,10.169230769230769,24.1
2025-04-04,201935,James Harden,LAC,2024-25,124.31163724842038,120.5069659192114,10.124594594594598,28.080000000000002
2021-12-10,201935,James Harden,BKN,2021-22,132.82533051896928,131.57206272799684,10.07076923076923,28.04
2024-11-06,1641705,Victor Wembanyama,SAS,2024-25,126.06343977919039,122.22229841005488,10.0625,25.3
2024-01-24,201939,Stephen Curry,GSW,2023-24,126.04580942179007,129.5779173428407,10.061578947368425,28.98
